"Temporary In-house Box Reference","Existing box label(s)","Box contents summary","Covering Dates","","",""
"70","Proofs and Manuscripts! 1993"," 1993 Selima Hill A Little Book of Meat TS and Proofs; 1993 Kay: Other Lovers Proofs and MSS; 1993 Couzyn In the Skin House First Version; Kissing the Night 1993 McNeill Proofs and MSS; 1993 Michael Hulse The New Poetry; 1993 Michael Hulse The New Poetry; 60 Women 1993; Sixty Women Poets (A) Proofs etc. 1993; 1993 Couzyn In the Skin House Proofs and MSS; Elliot Italian Landscape Poems 1993","1993","","",""
"71","Archive Satnd Magazine Gerald Manger"," Harrison Corrected Proofs File Copies; Loose sheets; 8 copies of Modern Riddles; Loose sheets; Poetry Book Society; Stand; Loose Sheets","<","","",""
"72","Proofs & Manuscipts! Caution not to be used as protective eyewear. '88 - '89."," Cassidy Walking on Frogs proofs 1989; Randall Sin Eater 1989; Conn Proofs 1988; The New Czech Poetry 1988 (bound); Czeniawski Burning Forest Proofs 1988; Janovic & Czechs proofs 1988; Bell Uncollected Poems mss 1988; Ratushinskaya pencil letter proof master copy 1988; Nigel Wells Just Bounce 1988; Wells Wilderness 1988; Armitage Zoom! proofs etc. 1989; McDonald Biting the Wax master proof 1989; Ian McDonald Biting the Wax 1989; Martin Bell Complete Poems proofs 1989; McDuff Ice Around Our Lips proofs and typescript 1989","1988 - 1989","","",""
"73","Proofs and Manuscripts! 1996"," Stephen Dobyns Velocities 1996; Peter Reading Collected Poems (2) 1996; Supposed to Fly; 1996 Jenny Joseph Ghosts Proofs; Proofed Tracey Herd No Hiding Place 1996; Brendan Kennelley Dublines 1996","1996","","",""
"74","Proofs and Manuscripts! Now a major motion picture from 20th Century Fox"," 1999 Nick Drake The Man in the White Suit MSS and Proofs; 1999 C. K. Williams Repair MS; 1999 Pauline Stainer Parable Island MSS and Proofs; 1999 Yang Lian Where the Proofs Stand Still; 1999 E. P. Thompson Proofs and MSS; 1999 Peters Sheep Don't Go To School Proofs and MSS; 1999 Yang Lian Where the Sea Stands Still More Proofs; 1999 Guillevic/ Montague Carnac Proofs and MSS; 1999 Kennelly Begin MS and Proofs; 1999 C. K. Williams Repair Proofs; London in Poetry and Prose edited Anna Adams; Three loose books of poems","1999","","",""
"75","Proofs and Manuscripts!!! '78 - '85","Wordsworth Anthology; Briggflatts Bunting; Noel Connor Talitha Cumi 1983; Dunstan Tarot Poems  1980; Douglas Dunn Rumoured City 1982; Neil Astley Ten N.E Poets 1980 (Graeme Hodgson mss for North East Anthology); Hull Anthology 1982; Ed N. Astley Ten North East Poets 1980; Kennelly proofs 1983; Didsbury Butchers of Hull 1982 (file); Tony Harrison Dramatic Verse (1) 1985; Tony Harrison Dramatic Verse (2) 1985","1980 - 1985","","",""
"76","Proofs and Manuscripts! (Don't cha just love 'em)"," Tony Harrison Permanently Bard 1995; Freda Downe Collected Poems 1995; Freda Downie Collected Poems 1995; Maxwell/ Proof/ Rest for the Wicked 1995; Hyland/ Proof/ Kicking Sawdust 1995; Hannan/ Proof/ Liar> Jones 1995; Bill Naughton/ Proof/ Neither Use nor Ornament; 1995 Tess Gallacher My Black Horse; Gallacher/ Proof/ My Black Horse 1995; Bartlett/ Proof/ Two Women Dancing; 1995 Tess Gallacher My Black Horse","1995","","",""
"77","n/a"," Deborah Randall Proofs and Reject Setting; Korelitz Proofs and Typescript; Playing for England Scott Typescript; Ma Zhi-Yuan Part 3 Notes to Poems; Holub Poems Before and After Proof Material; Belfast Confetti Proofs; Mistila Proofs; Metro Poems; Loose sheets; Hilda Morley; Ken Smith Poetry with an Edge; Martin Booth Looking for the Rainbow Sign; David Constantine Watching for Dolphins; Climates Ruth Fainlight; In Blackberry Time; Tyneside Free Press; Loose sheets> Bound sheets","<","","",""
"78","Misc Manuscripts and Tapes and Catalogues","Basil Bunting Reads 'Briggflats'; The Poetry Quartets: 9 Ian Duhig> Anne Rouse> Matthew Sweeney> Benjamin Zephaniah; The Poetry Quartet: 7 John Burnside> Liz Lochhead> W.N. Herbert> Don Paterson; The Poetry Quartets: 1 Simon Armitage> Jackie Kay> Kathleen Jamie> Glyn Maxwell; The Poetry Quartets: 4 Paul Durcan> Michael Longley> Brendan Kennelly> Medbh McGuckian; The Poetry Quartets: 8 Charles Causley> Lavinia Greenlaw> David Constantine> Andrew Motion; The Poetry Quartets: 2 Fleur Adcock> Selima Hill> Carol Ann Duffy> Carol Rumens; The Poetry Quartets: 3 James Fenton> Peter Reading> Tony Harrison> Ken Smith; The Poetry Quartets: 6 Moniza Alvi> Anne Stevenson> Michael Donaghy> George Szirtes; The Poetry Quartets: 5 Helen Dunmore> Elizabeth Jennings> U.A. Fanthorpe> Jo Shapcott; The Other Jamaican Memoirs of a Postcolonial Man Louis Simpson; John Hartley Williams The Touchstone; Wes Magee; The Catalogue 1995-1997; Complete List Autumn 2001-Spring 2001;  Complete List 2005; New Books and Complete List 2009; The Catalogue 1993-1995; Complete List 2005; The Catalogue 1996-1998; The Catalogue 1998-1999; Complete List Autumn 2000 - Spring 2001; The Blackbird's Field poems by Vasko Popa with drawings by Zivojin Turinski; In the Kibble Palace; John Hartley Williams 1980-1987; Carol Rumens Irina Play; Jem Poster Brought to Light MS and Proofs; Drew Buddha Poems; Eckhard Mahon; Maureen Duffy; Smith's Dock Correspondence; Len Tabner; Smith's Dock Production File; 2001 Galway Kinnell Selected MSS and Proofs and Rilke; The King My Father's Wreck Louis Simpson; Complete List 2006-07> New Books Spring and Summer 2006; Poetry that Sells Core Stock for all bookshops; New Books and Complete List 2010; New Books and Complete List 2011; New Books Spring and Summer 2003; New Books Spring Summer and Summer 2006; New Books Spring and Summer 2005; New Books Autumn 2005; Being Alive the sequel to Staying Alive; New Books Autumn 2004-Winter 2004-05; New Books Autumn 2006 - Winter 2006-07; Paul Hyland Getting into Poetry; Under the Rainbow Writers and Artists in Schools David Morley; New Books Spring and Summer 2004; New Books and Complete List; New Books Autumn 2004-Winter 2004-05;  Razumovsky / Marina Tsvetayeva 1994 Proofs","<","","",""
"79","n/a"," Directors Meetings; Editorial Report; Chairman 's Report; Bloodaxe Pandon Detailed Trial Balance; Mr. Simon Thirsk; Microsoft Dangerous Creatures; Unlabelled folder; Alpha Customer List T/Sales; Response; Loosr sheets; Book Club Association; Book MKTG and MKT Research; Unlabelled packet; Jack Mapanje Skipping Without Ropes Proofs and MSS","<","","",""
"80","Proofs and Manuscripts! (Now in stereo where available)"," 2000 Dobyns There are others; 2000 George Szirtes Buda Pest File MSS and Proofs; 2000 Dobyns Pallbearers First MSS (Superseded); Julie O'Callaghan Can Do Proof Corrections Typescripts (3 versions) 2000; 2000 Douglas Oliver A Salvo for Africa Earlier versions of MS; 2000 Stétié Cold Water Shielded MSS and Proofs; Bunting Complete Poems Proofs","2000","","",""
"81","<"," Szirtes Reel MS and proofs; Piotr Sommer Continued MS; Piotr Sommer Continued MS + Proofs; Gilliian Ferguson Baby; Constantine Holderlin's Sophocles Proofs and MSS; Jack Mapanje Beasts of Nalunga MSS and Proofs; Redgrove's Wife Penelope Shuttle; Piotr Sommer Editorial Correspondence - Things to Translate (1991) and Continued (2005)","1991-2008","","",""
"82","<"," Dun't Bring Me No Rocking Chair Ed. John Holliday Anthology; Ageing; Envelope titled Older '5' containing Older poets originals for proof reading; Body/Individual Proofs; Mind/Social Proofs; Historical; Spirit; Unenveloped Contents and Acknowledgements Proofs","2012","","",""
"83","CRC Various Titles Listed Inside","Loose sheets bound with paper clips and elastic bands: Enclosue Advice Note; Ciaron Carson Opera Et Cerera; Bloodaxe Contemporary French Poets: 6 Paul Eluard Unbroken Poetry II Original Proof; When Tunnels Meet; Poetry in the Wars; Friedrich Holderlin Selected Poems; Rome the Sorceress La Sorciere de Rome; Osip Mandelstam The Vorenezh Notebooks; Poetry with an Edge; Roy Fisher The Dow Low Drop: New and Selected Poems; Jenny Joseph Selected Poems; Jenny Joseph Ghosts and other Company; Neil Astley Biting My Tongue; Michael O'Siadhail A Fragile City","<","","",""
"84","<"," Moniza Alvi Souls Proof; Enzensberger Lighter Than Air MS + Proofs; JH Prynne: Poems (2005) Proof; Returned Proofs Poems 1955-2005 Anne Stevenson; Desmon Graham Making Poems MSS + Proofs","2005","","",""
"85","<","Packkets Labelled: Frieda Hughes Waxworks MSS + Proofs; Beu Braune Rejected MS; Susan Wickes Night Toad; Esther Morgan Beyond Calling Distance MSS + Proofs; Frieda Downie There'll Always Be an England MSS + Proofs","<","","",""
"86","<"," Austin: Track (2014) MSS> Proofs and Editorial Correspondence; Couzyn/ Contemporary Women Poets; Ken Smith Wil Root 2 MSS Versions (Proofs in Another Packet); Anne Stevenson Proofs and Different MSS Versions; P. Gross - Mappa Mundi; K. Kappabova Someone Else's Life Proofs and Earlier Versions of Manuscripts and Running Sheet","2012","","",""
"87","<"," Frieda Hughes Stonepicker - Proof and Manuscript; Lawrence Sail The World Returning 2 Versions of Proofs and Earlier Version of Book and 2 MSS; Elfyn - Blind Mans Kiss - Funny Sheets and Proof; Kennelly Martial Art runny sheet> Corrected Proofs> Manuscript; Lauris Edmond In Position Authors Proofs; Susan Wicks Night Toad; Kevin Hart Flame Tree","2003","","",""
"88","<"," Sarah Wardle A Knowable World Proofs + Numerous MSS Version!; unenveloped - Bloodaxe Books Information Joanne Limburg Femensimo; Bernardine Evaristo MSS + Proofs; Sorescu The Bridge 2 Versions UF MS; Gwyneth Lewis Hospital Odyssey First and Final Versions; Philip Gross Water Table MSS + Proofs; Pauline Stainer Crossing the Snowline (2008) Proofs> MSS + Editorial Correspondence; Glad of These Times; Contents Geography of the Lost Kapka Kassabova","2008","","",""
"89","<"," Sarah Wardle Fields Away Proofs + MSS; Longley Poetry + Posterity - Proof + Typescript; Agnes Nemes Nagy Nights of Akhenaton trs George Szirtes MSS + Proofs; Sansom In Prasie of Men - Proofs + Different Versions of Manuscript; France Kit Kat Club MSS ","<","","",""
"90","<"," Brendan Kennelly Glimpses MSS + Proofs; Being Alive Proofs + MSS; Eleanor Brown Maiden Speech MSS + Proofs; Forche Angel of History MSS","<","","",""
"91","<","1 x Packet Labelled: Dennis O'Driscoll Bloodaxe Book of Poetry Quotations MSS + Proofs + ED. Correspondence","2006","","",""
"92","<"," Edmond; Elfyn; Elliot; Ellis; Eluard; Elytis; Enzensberger; Fainlight; Fischerova; Fisher; Flynn; France; Torche; Butning/ Forde; Forsyth; Frenaud; Gallagher; Gibson; Gillilan; Forsstrom; Garrett; Greenhalgh; Greening; Greig; Griffiths; Gross (new photo) 1998; Guillevic; Hannan; Hanslik;Hardy; Harrison; Hart; Hattersley; W N Herbert; Tracey Herd; Hernandez; Heslop; Hewett; Rita Ann Higgins; Hill (New Photo); Holland; Holland Snooker; Hollis; Holub; Horovitz; Houston; Hughes> F. new photo 2001; Hughes> F colour new photo 2001; Hughes> F new photo 2001; Hughes; Hyland; Ieronim; Jaccottet; Jamie; Janovic; Johnson; New Joolz Photo; Joseph; Jozef; ","1998-2001","","",""
"93","<"," G F Dutton; Jacques Dupin; Dunmore; Drake; Dooley; Donovan; Dobyns; Didsbury; Dharker 2001 New Photo; Julia Darling; Dalton; D'Aguiar; Crane; Couzyn; Copus 2002; Constantine; Conn - Colour; Conn New Photo '99; Common; Clifton; Clemo; Clary; Cleary; Clark; Christensen; Chuilleanian; ChaplinCharlton; Cejka; Cernik; Cassidy; Carson; Ron Butlin; Bunting (with Roses) New Photo: 2000; Bunting (Portrait) New Photo: 2000; Eleanor Brown; Breeze; Blathwaite; Beverley Braune; Bonnefoy; Boye; Bosley; Bertolucci; Berry; Berkeley; Bensley; Bell; Bartlett; Balmer; Baker; Austin; Astley Photo; Nin Andrews; Alvi; Allnutt New Photo 2000; Agren; Agard; Adcock","1999-2000","","",""
"94","<","Green folder Organisers Labelled: Garrett Gillillan Gilbert Gallagher Gibson; unlabelled - Andrew Greig; Gross Griffiths; Guillevic; Greenhalgh Haroy Hannan; Harrison Hardi Hadfield; Hattersley Henri; Hughes/ Hirshfield; Heslop Hernadez Herd W.N. Herbert; Hewitt Hart Holub; Hill + Houston Higgins; Holland Hollis Hinsey Hoagland; Horovitz Holderlin; The New Poetry; Hughes; Hyland Setting into Poetry","<","","",""
"95","<"," Andrew Greig This Life> This Life Selected Poems; Maram Al-Massri A Red Cherry on a White-Tiled Floor MS> Proofs> Correspondence; Earth Shattering ed Neil Astley (2007) Editorial Matter + Originals","2007","","",""
"96","<"," Ken Smith Tender to the Queen of Spain MSS. (Proofs in Another Packet); Clare Pollard Bedtime Proofs;David Higham Associates The Porcupine's Kisses by Stephen Dobyns Manuscript; Ruth Fainlight Burning Wire Various MSS + Proofs + Notes; Jenny Joseph Extreme of Things MS. + Proof; Philip Gross The Egg of Zero November 2006 MS (Second Version); unenveloped - The Egg of Zero Philip Gross Draft March 2005; The Poetry Cure ed Julius Darling + Cynthia Fuller; Peter Reading -273.15; Fred D'Aguiar British Subjects","2005-2006","","",""
"97","<"," Rita Ann Higgins An Awful Racket Proofs + MSS; Allnutt Lintel Proof; Pia Tafdrop Queen's Gate Proofs + MSS; Frieda Hughes Wooroloo Proof; Adrian Mitchell All Shook Up Proofs + MSS [+ Journals]","<","","",""
"98","<","Green folder Organisers Labelled: Agard Adamson Al-Massri Alexander; Agee Adcock Akhmatova; Armitage Alvi Anderson; Astley Andrews; Austin Allnutt; Balmer Bartlett Benson Braithwaite Braune; Bell Bunting Boye Bensley; Bertolucci Sara Berkeley; Bloodaxe; Eleanor Brown Keith Bosley E Bishop Binta Breeze; Cleary Catallus Cesaire; Charlton K. Clary Clemo Conner Chaplin; Christensen Clark Chasson; Cooper Copus Couzyn; Constantine Conn Common Czechs; Amanda Dalton; D'Aguiar; Peter Didsbury; Dobyns Dupin; Katie Donovan; Dooley Downie Dunmore; Nick Drake; Dharker; Dutton Elfyn Edmond; Ellis Elliot Eluard; Enzensberger Carolyn Forche Fainlight; Elytis Fisher Fischerova Forsstrom; Ferguson Ferry Fairleigh French Poets Forbes; France Flynn Frogloue; Frenaud","<","","",""
"99","<","Loose Sheet and clear plastic wallets: Young Rain; loose sheets - I Studied Once at a Wonderful Faculty; Starve the Poets!: Final Corrections; loose sheets -  Martin Carter Collected Poems and Selected Prose;  loose sheets - Notes to Collected Poems and Selected Prose; loose sheets - Li-Young The Hat; loose sheets - Selima Hill; loose sheets - Gloria Hill; Allnutt How the Bicycle Shone; From the Word Go Nick Drake; loose sheets - Carter","<","","",""
"100","Edna Longley: BB of 20th Century Poetry Proofs and MSS","loose sheets containing proofs and MSS of the books titled Bloodaxe Books 20th Century Poetry","<","","",""
"101","<","Packets labelled (containing photographs?): Zephaniah; Wright; John Hartley Williams (New Photo); C K Williams; Wicks 2002; Whitehead; Nigel Wells; Alan Wearne; Wardle (2003); Voss; Valek; Twichell; Liliana Ursu; Tuominen; Tsvetayeva; Transtromer; E.P. Thompson; D.M. Thomas; R.S. Thomas (latest); Tardieu; Joe Tanner (Gwyneth Lewis' Cousin); Tagore; Tafdrup; Szirtes; SYS Karel Sys; I Martin Stokes; Stevenson; Stetie; Eira Stenberg; Stainer; Sorescu; P Sommer; Edith Sodergran; S. Smith; Smith> Ken (new photo 1998); Dave Smith; Matt Simpson; Simmons; Shvarts; Shapcott; Senior; Scott; Schnackenberg; Satyamurti; Sansom; Sansom .A; Salzman; L. Sail; Rumens; Rumens New '02; Ryan; Rouse; Rees-Jones; Jacques Reda; Redgrove; Ratushinskaya; Small Zone; Rein; Reading - Pub; Reading; Ratushinskaya; Randall; Rae","<","","",""
"102","<"," Elizabeth Alexander American Blue; Jane Hirshfield Come> Thief; Leanne O'Sullivan Waiting for my Clothes; Cheryl Follpn All Your Talk; Roddy Lumsden Identity Parade; Connie Bensley Private Pleasures","<","","",""
"103","<"," Brian Turner; David Scott Piecing Together; Zoe Brigley The Secret; Yi Sha: Starve the Poets! Introduction ""There is Style in the Blood""; Sarah Wardle Fields Away; Spread the Word inc. Tem; Kevin Hart; Selected Poems by Gig Ryan","2008","","",""
"104","<"," Fiona Sampson Music Lessons: Poetry and Musical Form; Gwyneth Lewis; New Book: Contract Notice Concentric Circles Yang Lian; unenveloped - Concentric Circles by Yang Lian; unenveloped Rebecca Horn Moon Mirror> 2003 CD; Penelope Shuttle Unsent; Bloodaxe Books Information Brendan Kennelly Now","2003-2004","","",""
"105","<","Karen Solie: The Living Option; Priscila Uppal; Voice Recognition; Gwyneth Lewis A Hospital Odyssey; Esther Morgan Grace; As Though we Were Flying Andrew Greig; Luljeta Lleshanaku Haywire; Sparrow Tree Gwyneth Lewis","<","","",""
"106","<"," Paul Hyalnd The Act of the Impossible; Paul Hyland Kicking Sawdust; Paul Hyland Getting into Poetry; unenveloped - Jane Hirshfield / After; Jane Hirshfield Hiddesnness> Uncertainty> Surprise; George Charlton City of Dog; Michael O'Siadhail Love Life; Michael O'Siadhail Globe","2006","","",""
"107","<"," Joanne Limburg Paraphennalia; Katie Donovan Rootling Proofs + MSS; Moniza Alvi Jules Supervielle Homesick for the Earth; Connie Bensley Finding a Leg to Stand on MSS> Proofs + Correspondence; John Agard Travel Light Travel Dark MS + Correspondence; Sarah Wardle A Knowable World","<","","",""
"108","<"," Soul Food; Soul Food; C.D. Wright MS; New Book: Contract Notice Cailleach: The Hag of Beara; Samuel Menashe; Paul Hyland 2nd Title for this Book - Art of the Impossible","<","","",""
"109","<"," unlabelled - contained New bLook: Contract Notice Tongues; Michael O'Siadhail Collected Poems Proofs; Peter Forbes We Have Come Through; Stewart Conn Ghosts at Cockrow; Bloodaxe Books Information Slly Read The Point of Splitting; Newcastle/ Bloodaxe Poetry Series 13 Paul Batchelor: Reading Barry MacSweeney Corrected Proof","2009-2010","","",""
"110","<"," Michael O'Siadhail Tongues MS. (Another File); unlabelled - contains Dog Language; Selina Guinness The New Irish Poets 2004; Philip Gross Changes of Address - Poems 1980-1998; Philip Gross The Wasting Game; unlabelled - New Book: Contract The Egg of Zero; unlabelled - New Book: Contract Notice Mappa Mundi; unlabelled - New Book Contract Notice Deep Field; unlabelled - New Book: Contract Notice Later ","2004-2005","","",""
"111","<"," Rita Ann Higgins Ireland is Changing Mother; Imtiaz Dharker The Terrorist at my Table; Susan Wicks De-Iced; Newcastle/ Bloodaxe Poetry Series 2 David Constantine: A Living Language; Moon Wheels - Ruth Fainlight; Kate Potts Pure Hustle; Ruddy Lumsden Terrific Melancholy; March 2004 Version Caitriona O'Reilly The Sea Cabinet; Don Marquis Archyology ii; unlabelled - Bloodaxe Books information Something for the Ghosts; House of Tongues Susan Wicks; unlabelled - Bloodaxe Books information Kona Macphee Tails; Ailbhe Darcy Imaginary Menagerie","2004-2006","","",""
"112","PR Round-Ups 1-45 Missing 11+23 (1988-1994)","Bounds sheet of paper: Bloodaxe Books Information Publicity Round-Up: 45 Spring / Summer 1994; Bloodaxe Books Information Publicity Round-Up: 44 September / 1993-January 1994 Talking about the New Generation Poets National Promotion in 1994; Bloodaxe Books Information Publicity Round-Up: 43 March-August 1993 The New Poetry; Bloodaxe Books Information Publicity Round-Up: 42 December 1992-Febrauary 1993 The Yanks Are Coming!; Bloodaxe Books Information Publicity Round-Up: 41 July-November 1992 Tony Harrison Whitbread Book of the Year Poetry Award; Bloodaxe Books Information Publicity Round-Up: 40 February-June 1992 Bloodaxe Poets on Television; Bloodaxe Book Information Publicity Round-Up: 39 January-February 1992 Bloodaxe on the Road...; Bloodaxe Books Information Publicity Round-Up: 38 August-December 1992; Bloodaxe Books Information Publicity Round-Up: 37 May-July 1991; Bloodaxe Books Information Publicity Round-Up: 36 February-April 1991; Bloodaxe Books Information Publicity Round-Up: 35 December 1990-February 1991; Bloodaxe Books Information Publicity Round-Up: 34 November-December 1990; Bloodaxe Books Information Publicity Round-Up: 33 Autumn 1990; loose sheets - Innocents and Grotesques David Constantine; Bloodaxe Books Information Publicity Round-Up: No 32 June 1990; Bloodaxe Books Information Publicity Round-Up: No 31 April-May 1990; Bloodaxe Books Information Publicity Round-Up: No 30 February-March 1990; Bloodaxe Books Information Publicity Round-Up No. 29 Januray-February 1990; Bloodaxe Books Information Publicity Round-Up No. 28 December 1989; Bloodaxe Books Information Publicity Round-Up No 27 November 1989; Bloodaxe Books Information Publicity Round-Up No 26 October 1989; Bloodaxe Books Information Publicity Round-Up No 25 September-October 1989; Bloodaxe Books Information Publicity Round-Up No 24 August-September 1989; Bloodaxe Books Information Publicity Round-Up No. 22 August 1989; Bloodaxe Books Information Publicity Round-Up No 22 July-August 1989; Bloodaxe Books Information Publicity Round-Up No 21 June-July 1989; Bloodaxe Books Information Publicity Round-Up No. 20 June 1989; Bloodaxe Books Information Publicity Round-Up No 19 May-June 1989; Bloodaxe Books Information Publicity Round-Up No 18 May 1989; Bloodaxe Books Information Publicity Round-Up No 17 April 1989; Bloodaxe Books Information Publicity Round-Up No 16 15-26 March 1989; Bloodaxe Books Information Publicity Round-Up No 15 1-14 March 1989; Bloodaxe Books Information Publicity Round-Up No 14 February '89; Bloodaxe Books Information Publicity Round-Up No 13 24 January-2 February 1989; Bloodaxe Books Information Publicity Round-Up No 12 9-23 Januar 1989; Bloodaxe Books Information Publicity Round-Up No 10 2-15 December; Bloodaxe Books Information Publicity Round-Up No 9 19 November-2 December 1988; Bloodaxe Books Information Publicity Round-Up No 8 October-November 1988; Bloodaxe Books Information Publicity Round-Up No 7 September-October 1988; Bloodaxe Books Information Publicity Round-Up No 6 22 August-9 September; Bloodaxe Books Information Publicity Round-Up No 5 8-19 August; Bloodaxe Books Information Publicity Round-Up No 4 25 July-5 August; Bloodaxe Books Information Publicity Round-Up No 3 15-22 July; Bloodaxe Books Information Publicity Round-Up No 2 1-15 July 1988; Bloodaxe Books Information Publicity Round-Up for 10-30 Jun 1988; Bloodaxe Books Information Pencil Letter - Irina Ratushinskaya Review Summary for May and June 1988","1988-1994","","",""
"113","Bloodaxe Publicity Round-Ups No 46-56","Bound sheets of paper: Bloodaxe Books Information Publicity Round-Up: 56 January -May 1998; Bloodaxe Books Information Publicity Round-Up: 55 August 1997-January 1998; Bloodaxe Books Information Publicity Round-Up: 54 June-July 1997; Bloodaxe Books Information Publicity Round-Up: 53 January-April 1997; Bloodaxe Books Information Publicity Round-Up: 52 October-December 1996 'When I am Old I Shall Wear Purple...'; Bloodaxe Books Information Publicity Round-Up: 51 July-September 1996; Bloodaxe Books Information Publicity Round-Up: 50 Summer 1996; Bloodaxe Books Information Publicity Round-Up: 49 Autumn 1995; Bloodaxe Books Information Publicity Round-Up: 48 Summer 1995; Bloodaxe Books Information Publicity Round-Up: 47 Winter 1994/Spring 1995; Bloodaxe Books Information Publicity Round-Up: 46 Autumn 1994","1994-1996","","",""
"114","Elyn and Rowlands Bloodaxe Books of Modern Welsh Poets","Loose sheets of paper: The Bloodaxe Book of Modern Welsh Poetry; The Bloodaxe Book of Modern Welsh Poetry Feb 20 Update; Against a Sky of Song: An Anthology of Twentieth-Century Welsh-Language Poetry in translation edited by Menna Elfyn and John Rowlands; 6 x Floppy Disks titled: Bloodaxe Book of Mod. Welsh Poetry Welsham 1-pp.1-14 + Welsham 2-pp. 15-28; Bloodaxe Book of Mod. Welsh Poetry Welsham 3 pp. 29-125; Bloodaxe Book of Mod. Welsh Poetry Welsham 4> pp. 126-193; Bloodaxe Book of Mod. Welsh Poetry Welsham 5> pp. 194-293; Bloodaxe Book of Mod. Welsh Poetry Welsham 6> pp. 294-436; Bloodaxe Book of Mod. Welsh Poetry Welsham  7> PP. 437-447; unlabelled envelope - Introduction and first 100 pages of The Welsh Anthology; unlabelled envelope - Anthology of Welsh Poetry; unlabelled - first draft of translations for anthology of twent-eth-century Welsh language poetry","2002","","",""
"115","<"," Adrian Mitchell Tell Me Lies Version 1 + 2 + Proofs; Rumens Self Into Song MSS + Proog; Jen Hadfield Almanacs Proofs; Griffiths Icarus on Earth Proofs; Mary Oliver Wild Geese MS; Esther Morgan The Silence Living in Houses MS + Proof","2004-2009","","",""
"116","<","Packets Labelled (containing photographs?): Gisele Prassinos; Tom Pow; Poster; Porteous; Porteous (Norris); Pollard '02; Poetry Virgins; Plater; Pickard; Padel; O'Siadhail New 2002; O'Siadhail; O'Reilly; Orban; Oliver; O'Callaghan; O'Brien; Normal; New Blood Tour; Naughton; Murphy; Morley; Morgan; Montague; Mitchell; Paula Meehan; Maxwell; Maughan; Martin; E.A. Markham; Mapanje; Mangan; Mandelstam; Gerard Mace 2; Gerard Mace 1; Mac Sweeney; McNeill; McGuckian; Mairi MacInnes; McDonald; Andrew McAllister (2 different Photographs); Kathleen MacCracken; Lumsden New Photo: 2000; Lorca; Edna Longley; Marion Lomax; Limburg; Lian; Lewis (new photo Sept 98); Levitas; Levertov New Pic (Felver); Knight 1996 (New Pic); Korelitz; Helen Kitson; Kinsella; Kinnell; Kennelly; Kennelly Fab Smile; Kay New Photo 2001; Kassabova","1996-2001","","",""
"117","<"," Sorescu Censored Poems; Ruth Fainlight Moon Wheels MSS + Proofs; Gjertrud Schnackenberg Supernatural Love Proofs","<","","",""
"118","<"," Helen Ivory The Double Life of Clocks> The Dog in the Sky> The Breakfast Machine; ? {The New Poetry} Edited by: Michael Hulse> David Kennedy; David Morley October 1992; Terrestrial Variations Jane Griffiths; Jane Griffiths Another Country; Jane Griffiths; Evening Brings Everything Back; Arun Kolatkar Collected Poems; Jane Kennelly","1992-2005","","",""
"119","<"," Kevin Hart Flame Tree: Selected Poems Fist MS.; Chris Greenhalgh Invention of Zero Proofs +MSS.; John Agard Alternative Anthem; Selima Hill Fruitcase MS; John Agard Weblings; Clever Backbone John Agard; We Brits John Agard; From the Devil's Pulpit John Agard; Kenji Miyazawa MS + Correspondence","1997-2008","","",""
"120","<"," Caitriona O'Reilly The Sea Cabinet MS> Proofs + Correspondence; Jenny Joseph Extreme of Things; Miroslav Holub Poems Before + After New Edition (2006); Anne Stevenson MS + Proofs; Robyn Bolam New Wings MS> Proofs + Correspondence; Tracey Herd Dead RedHead MSS + Proofs; Peter Reading [Untitled] 2001 Proofs + MSS; Selima Hill Bunny Proof + Typsecript","2001-2006","","",""
"121","<"," W S Merwin Selected Poems Proofs + MS; Julia Copus In Praise of Adultery Proofs +MSS; Jackie Kay Off Colour Proofs + MSS; Julia Copus Shuttered Eye Proofs; Imtiaz Dharker I Speak for the Devil MS + Proofs; Jane Holland MS Versions (Publication Cancelled - Supervised by Verse Play; Fairleigh Sorescu's Choice Proofs","1991-1995","","",""
"122","Bloodaxe PR Round-Ups 57-63 (last one)","Bound sheets of paper: Bloodaxe Books Information Publicity Round-Up: 63 2004; Bloodaxe Books Information Publicity Round-Up: 62 July 2002-November 2003; Bloodaxe Books Information Publicity Round-Up: North East Coverage June-September 2002; Bloodaxe Books Information Publicity Round-Up: 61 August 2001-June 2002; Bloodaxe Books Information Publicity Round-Up: 60 January-July 2001; Bloodaxe Books Information Publicity Round-Up: 59 2000; Bloodaxe Books Information Publicity Round-Up: 58 March-November 1999; Bloodaxe Books Information Publicity Round-Up: 57 June 1998-February 1999 ","1999-2004","","",""
"123","<","Green folder organisers Labelled: Ieronim Ivory; Jaccotter; Janovic Jamie; L.K.J; Jenny Joseph; Atilla J '02; Kay Kenyon; Kelley Kassabova; KonittinenKennelly; John Kinsella Galway Kinnell; Knight; Yang Lian Limburg Lumsden; Levertov Levine Lomas; Longley Lewis; Lorca Lazic","<","","",""
"124","Advance Information Sheets - Originals","Sheets of Bloodaxe Books Information organised within an A-Z Organiser","<","","",""
"125","<"," Ken Smith You Again; Rumens Poems 1968-2004 MS + Proofs","2004","","",""
"126","<"," Roy Fisher The Long and The Short of it Poems 1955-2005 2005 Edition; Fran Brearton Reading Michael Longley MS> Proof + Correspondence; Polly ClarkTake Me with You MSS + Editorial Correspondence","2004-2005","","",""
